id	ean	category	quantity	notsent	name	cnName	lastWeek
548	4250755330525	WB-Keramik	5	1	Brüssel118G	CH118G/118G	140|31|7|2|0
549	4250755330648	WB-Keramik	0	0	Brüssel159	CH159/HY4005	83|9|2|2|0
550	4250755307350	Deleted-element	0	0	Francfort1101	FYD-1101	0|0|0|0|0
551	4250755307329	Deleted-element	0	0	Francfort1101G	FYD-1101G	0|0|0|0|0
552	4250755307336	Deleted-element	0	0	Francfort2601	FYD-2601	12|0|0|0|0
553	4250755307343	Armatur-WA	31	0	Francfort2602	FYD-2602	12|2|2|2|0
554	4250755304205	Deleted-element	0	0	Colonia2605	FYD-2605	0|0|0|0|0
555	4250755304151	Deleted-element	0	0	Berlina2604	FYD-2604	0|0|0|0|0
556	4250755301242	KA,Deleted-element	0	0	KONSTANZ2603	FYD-2603	0|0|0|0|0
557	4250755335629	Deleted-element	0	0	TROPICAL825W Tropical Island 8251w 200mm rund	8251w-200	0|0|0|0|0
558	4250755335612	Deleted-element	0	0	TROPICAL825W Tropical Island 8252w 250mm rund	8252w-250	0|0|0|0|0
559	4250755335605	Deleted-element	0	0	TROPICAL825W Tropical Island 8253w 300mm rund	8253w-300	0|0|0|0|0
560	4250755335599	Deleted-element	0	0	TROPICAL825W Tropical Island 825w 350mm rund		0|0|0|0|0
561	4250755335582	Deleted-element	1	0	TROPICAL825W Tropical Island 8254w 400mm rund	8254w-400	0|0|0|0|0
562	4250755335575	Deleted-element	0	0	TROPICAL825D Tropical Island 8255w 500mm rund	8255w	0|0|0|0|0
563	4250755335568	Deleted-element	0	0	TROPICAL826W Tropical Island 8261w 200x200 eckig	PG-8261	0|0|0|0|0
564	4250755335551	Deleted-element	3	0	TROPICAL826W Tropical Island 8262w 250x250 eckig	PG-8262	0|0|0|0|0
565	4250755335544	Deleted-element	0	0	TROPICAL826W Tropical Island 8263w 300x300 eckig	PG-8263	0|0|0|0|0
566	4250755335537	Deleted-element	0	0	TROPICAL826W Tropical Island 826w 350x350 eckig		0|0|0|0|0
567	4250755335520	Deleted-element	0	0	TROPICAL826W Tropical Island 8264 400x400 eckig	PG-8264	0|0|0|0|0
568	4250755335513	Deleted-element	1	0	TROPICAL826D Tropical Island 8265W 500x500 eckig	PG-8265	0|0|0|0|0
571	4250755304168	Deleted-element	0	0	Berlina51	BA51	0|0|0|0|0
572	4250755304175	Deleted-element	0	0	Berlina53	BA53	0|0|0|0|0
573	4250755304182	Deleted-element	0	0	Berlina61	BA61	0|0|0|0|0
580	4250755330501	WB-Gussmar	24	3	Colossum01 1000 - Bavaria	6033-1000	35|14|7|4|2
581	4250755330488	WB-Gussmar	48	5	Colossum01 600 - Bavaria Positano	6033-600	22|3|2|0|0
583	4250755330495	WB-Gussmar	25	2	Colossum01 765 - Bavaria	6033-765	37|19|5|2|1
584	4250755330471	WB-Gussmar	8	2	Colossum06 765	6025-765	71|21|10|5|2
585	4250755323138	Bremen1MS	35	12	Bremen01MS 120	BR7003-1200S	128|42|12|7|6
587	4250755301259	Armatur-KA	52	0	LAVUM38 (038)	KA038	2|0|0|0|0
606	4250755316864	BM-Tavolum	0	0	Tavolum Weiss 750*450*50	WAT02 W 750*450*50	0|0|0|0|0
607	4250755316871	BM-Tavolum	2	1	Tavolum Weiss 1000*450*50	WAT02 W 1000*450*50	0|0|0|0|0
608	4250755316888	BM-Tavolum	0	0	Tavolum Weiss 1200*450*50	WAT02 W 1200*450*50	14|0|0|0|0
609	4250755316802	BM-Tavolum	0	0	Tavolum Weiss 750*500*50	WAT02 W 750*500*50	0|0|0|0|0
610	4250755316819	BM-Tavolum	0	0	Tavolum Weiss 1000*500*50	WAT02 W 1000*500*50	0|0|0|0|0
611	4250755316826	BM-Tavolum	0	0	Tavolum Weiss 1200*500*50	WAT02 W 1200*500*50	0|0|0|0|0
612	4250755316895	BM-Tavolum	0	0	Tavolum Anthrazit 750*450*50	WAT02 G 750*450*50	0|0|0|0|0
613	4250755316918	BM-Tavolum	0	0	Tavolum Anthrazit 1200*450*50	WAT02 G 1200*450*50	11|0|0|0|0
